,name,anomaly,probability
0,12574,0,0.0
1,7595,0,0.0007956684585379
2,7404,0,0.0
3,13159,0,0.00098973393623
4,12932,0,0.0004657571464612
5,6424,0,0.0
6,5922,0,0.0007568553629994
7,5669,0,0.0035513982417667
8,499,0,0.0017659958469987
9,8398,0,0.0039783422926895
10,1191,0,0.0009509208406916
11,8128,0,0.0011061732228453
12,9497,0,0.0006598226241533
13,923,0,0.0021153137068446
14,12092,0,0.0023870053756137
15,8579,0,0.0
16,103,0,0.0
17,3634,0,0.0004657571464612
18,12449,0,0.0
19,9898,0,0.0
20,14712,0,0.0004657571464612
21,7574,0,0.0
22,5485,0,0.0
23,2082,0,0.0006986357196918
24,306,0,0.0
25,6508,0,0.0
26,8016,0,0.0004851636942304
27,2138,0,0.0
28,13854,0,0.0006404160763841
29,11541,0,0.0
30,9509,0,0.0004269440509227
31,10945,0,0.0
32,13946,0,0.0007956684585379
33,5021,0,0.0008732946496147
34,2639,0,0.0
35,10624,0,0.0017271827514603
36,4340,0,0.0
37,559,0,0.0
38,10351,0,0.0010285470317685
39,901,0,0.0004851636942304
40,9230,0,0.0
41,5507,0,0.0006016029808457
42,13755,0,0.0017659958469987
43,9823,0,0.0012032059616914
44,5911,0,0.0
45,12600,0,0.0
46,7504,0,0.0
47,12480,0,0.0
48,11386,0,0.0
49,5307,0,0.0027169166876904
50,2893,0,0.0035319916939975
51,2589,0,0.0
52,11438,0,0.0004463505986919
53,7686,0,0.0005627898853073
54,14072,0,0.0
55,9856,0,0.0
56,3956,0,0.0021153137068446
57,6708,0,0.0026781035921519
58,2747,0,0.0
59,3118,0,0.0
60,3472,0,0.0015331172737681
61,11963,0,0.0
62,10554,0,0.0012808321527683
63,6232,0,0.0
64,12455,0,0.0048516369423043
65,13082,0,0.0
66,3156,0,0.0
67,6824,0,0.0
68,11355,0,0.0
69,11777,0,0.0
70,2168,0,0.0
71,4428,0,0.0
72,1139,0,0.0
73,6265,0,0.0
